TransactionId,CardName,CardNumber,LotNumber,EntryTime,ExitTime,Failed,Duplicate,NoEntry,NoExit,Overnight,Consecutive,Hours,Charge
22893337,"UIHC Dialysis P, ",22497,80,7/18/2022 12:26,7/18/2022 16:55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6
22894580,"UIHC Dialysis P, ",39311,80,7/18/2022 9:30,7/18/2022 19:08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,12
22909183,"UIHC Dialysis P, ",22497,80,7/20/2022 6:50,7/20/2022 14:54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,10.8
22911967,"UIHC Dialysis P, ",51900,80,7/20/2022 5:27,7/20/2022 19:26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,16.8
22921880,"UIHC Dialysis P, ",22497,80,7/21/2022 9:01,7/21/2022 19:58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,13.2
22927245,"UIHC Dialysis P, ",22497,80,7/22/2022 8:26,7/22/2022 14:29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,8.4
22933069,"UIHC Dialysis P, ",51900,50,,7/23/2022 16:15,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0
22939296,"UIHC Dialysis P, ",39311,80,7/25/2022 5:18,7/25/2022 7:32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3.6
22943916,"UIHC Dialysis P, ",22497,80,7/25/2022 13:48,7/25/2022 16:56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4.8
22949263,"UIHC Dialysis P, ",15137,80,7/26/2022 8:36,7/26/2022 10:41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3.6
22961085,"UIHC Dialysis P, ",22497,80,7/27/2022 9:30,7/27/2022 17:34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,10.8
22969026,"UIHC Dialysis P, ",22497,80,7/28/2022 8:50,7/28/2022 16:47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,9.6
23009046,"UIHC Dialysis P, ",22497,80,8/3/2022 12:30,8/3/2022 16:58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6
23017702,"UIHC Dialysis P, ",22497,80,8/4/2022 8:21,8/4/2022 17:15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,10.8
23024607,"UIHC Dialysis P, ",22497,80,8/5/2022 8:51,8/5/2022 16:18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,9.6
23029621,"UIHC Dialysis P, ",15137,80,8/6/2022 16:41,8/6/2022 17:06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1.2
23040125,"UIHC Dialysis P, ",51900,80,8/8/2022 5:35,8/8/2022 15:38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,13.2
23041069,"UIHC Dialysis P, ",22497,80,8/8/2022 12:12,8/8/2022 16:55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6
23058833,"UIHC Dialysis P, ",22497,80,8/10/2022 13:37,8/10/2022 17:33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4.8
23059920,"UIHC Dialysis P, ",51900,80,8/10/2022 9:10,8/10/2022 20:53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,14.4
23066128,"UIHC Dialysis P, ",22497,80,8/11/2022 7:09,8/11/2022 15:58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,10.8
23073938,"UIHC Dialysis P, ",51900,80,8/12/2022 5:34,8/12/2022 14:55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,12
23074980,"UIHC Dialysis P, ",22497,80,8/12/2022 8:45,8/12/2022 16:40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,9.6
23075644,"UIHC Dialysis P, ",15002,80,8/12/2022 5:14,8/12/2022 17:45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,15.6
23104966,"UIHC Dialysis P, ",51900,80,8/17/2022 5:42,8/17/2022 7:43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3.6
23108203,"UIHC Dialysis P, ",22497,80,8/17/2022 6:54,8/17/2022 13:58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,9.6
23120799,"UIHC Dialysis P, ",22497,80,8/18/2022 8:44,8/18/2022 20:58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,15.6
23126448,"UIHC Dialysis P, ",22497,80,8/19/2022 8:45,8/19/2022 14:37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,7.2
23143003,"UIHC Dialysis P, ",51900,80,8/22/2022 5:31,8/22/2022 11:54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,8.4
23146432,"UIHC Dialysis P, ",22497,80,8/22/2022 12:30,8/22/2022 17:15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6
23146690,"UIHC Dialysis P, ",15002,80,8/22/2022 5:18,8/22/2022 17:36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,15.6
23159321,"UIHC Dialysis P, ",51900,80,8/24/2022 5:31,8/24/2022 6:14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1.2
23166580,"UIHC Dialysis P, ",22497,80,8/24/2022 11:59,8/24/2022 16:49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6
23175737,"UIHC Dialysis P, ",22497,80,8/25/2022 6:55,8/25/2022 15:05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,10.8
23187379,"UIHC Dialysis P, ",22497,80,8/26/2022 8:54,8/26/2022 16:39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,9.6
23200873,"UIHC Dialysis P, ",51900,80,8/29/2022 5:32,8/29/2022 6:04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1.2
